"time","SC","SR","PPG","SR_transformed","SC_transformed","SC_z","SR_z"
8.286,1.6635,6.011,2.908,6.011,1.6635,-0.276761210959893,0.248541464415721
8.287,1.663,6.013,2.901,6.013,1.663,-0.2845087650175,0.257445334561372
8.288,1.6635,6.011,2.901,6.011,1.6635,-0.276761210959893,0.248541464415721
8.28966,1.663,6.013,2.908,6.013,1.663,-0.2845087650175,0.257445334561372
8.29,1.663,6.013,2.857,6.013,1.663,-0.2845087650175,0.257445334561372
8.291,1.663,6.013,2.901,6.013,1.663,-0.2845087650175,0.257445334561372
8.292,1.663,6.013,2.901,6.013,1.663,-0.2845087650175,0.257445334561372
8.293,1.663,6.013,2.8937,6.013,1.663,-0.2845087650175,0.257445334561372
8.294,1.663,6.013,2.9157,6.013,1.663,-0.2845087650175,0.257445334561372
8.295,1.6635,6.011,2.8937,6.011,1.6635,-0.276761210959893,0.248541464415721
8.296,1.6635,6.011,2.901,6.011,1.6635,-0.276761210959893,0.248541464415721
8.29766,1.6635,6.011,2.908,6.011,1.6635,-0.276761210959893,0.248541464415721
8.298,1.6635,6.011,2.901,6.011,1.6635,-0.276761210959893,0.248541464415721
8.299,1.664,6.009,2.901,6.009,1.664,-0.269013656902285,0.239637594270071
8.3,1.664,6.009,2.901,6.009,1.664,-0.269013656902285,0.239637594270071
8.301,1.664,6.009,2.901,6.009,1.664,-0.269013656902285,0.239637594270071
8.302,1.664,6.009,2.901,6.009,1.664,-0.269013656902285,0.239637594270071
8.303,1.664,6.009,2.901,6.009,1.664,-0.269013656902285,0.239637594270071
8.304,1.664,6.009,2.8937,6.009,1.664,-0.269013656902285,0.239637594270071
8.3056,1.664,6.009,2.901,6.009,1.664,-0.269013656902285,0.239637594270071
8.306,1.6635,6.011,2.8937,6.011,1.6635,-0.276761210959893,0.248541464415721
8.307,1.6635,6.011,2.8937,6.011,1.6635,-0.276761210959893,0.248541464415721
8.308,1.663,6.013,2.8937,6.013,1.663,-0.2845087650175,0.257445334561372
8.309,1.6625,6.01497,2.901,6.01497,1.6625,-0.292256319075111,0.266215646654839
8.31,1.662,6.016,2.8864,6.016,1.662,-0.300003873132722,0.27080113977985
8.311,1.662,6.016,2.901,6.016,1.662,-0.300003873132722,0.27080113977985
8.312,1.662,6.016,2.8937,6.016,1.662,-0.300003873132722,0.27080113977985
8.31366,1.6614,6.0186,2.901,6.0186,1.6614,-0.309300938001844,0.282376170969198
8.314,1.66,6.02,2.901,6.02,1.66,-0.330994089363151,0.288608880071151
8.315,1.66,6.02,2.901,6.02,1.66,-0.330994089363151,0.288608880071151
8.316,1.659,6.02421,2.901,6.02421,1.659,-0.34648919747837,0.307351526727746
8.317,1.659,6.026,2.901,6.026,1.659,-0.34648919747837,0.315320490508107
8.318,1.6589,6.0279,2.901,6.0279,1.6589,-0.348038708289894,0.32377916714648
8.319,1.6589,6.0279,2.901,6.0279,1.6589,-0.348038708289894,0.32377916714648
8.32,1.6584,6.029,2.8937,6.029,1.6584,-0.355786262347502,0.328676295726585
8.321,1.6579,6.031,2.8937,6.031,1.6579,-0.363533816405106,0.33758016587224
8.322,1.656,6.035,2.8937,6.035,1.656,-0.392974521824017,0.355387906163541
8.323,1.6574,6.0334,2.901,6.0334,1.6574,-0.371281370462713,0.348264810047016
8.324,1.6563,6.0372,2.8937,6.0372,1.6563,-0.388325989389456,0.365182163323758
8.325,1.6563,6.0372,2.8937,6.0372,1.6563,-0.388325989389456,0.365182163323758
8.326,1.6558,6.039,2.8937,6.039,1.6558,-0.396073543447064,0.373195646454842
8.327,1.6543,6.044,2.901,6.044,1.6543,-0.41931620561989,0.395455321818971
8.328,1.654,6.042,2.901,6.042,1.654,-0.423964738054451,0.38655145167332
8.32967,1.654,6.042,2.901,6.042,1.654,-0.423964738054451,0.38655145167332
8.33,1.6543,6.044,2.8937,6.044,1.6543,-0.41931620561989,0.395455321818971
8.331,1.6543,6.044,2.901,6.044,1.6543,-0.41931620561989,0.395455321818971
8.332,1.6533,6.0484,2.901,6.0484,1.6533,-0.434811313735101,0.415043836139402
8.333,1.6538,6.0465,2.901,6.0465,1.6538,-0.427063759677497,0.406585159501037
8.334,1.652,6.05027,2.901,6.05027,1.652,-0.454954954284884,0.423368954725587
8.335,1.652,6.05027,2.8937,6.05027,1.652,-0.454954954284884,0.423368954725587
8.336,1.6523,6.052,2.8864,6.052,1.6523,-0.450306421850323,0.431070802401577
8.3376,1.6523,6.052,2.901,6.052,1.6523,-0.450306421850323,0.431070802401577
8.338,1.6523,6.052,2.8937,6.052,1.6523,-0.450306421850323,0.431070802401577
8.339,1.6523,6.052,2.864,6.052,1.6523,-0.450306421850323,0.431070802401577
8.34,1.651,6.05401,2.901,6.05401,1.651,-0.470450062400102,0.440019191897958
8.341,1.6512,6.0558,2.8937,6.0558,1.6512,-0.467351040777059,0.447988155678315
8.342,1.6512,6.0558,2.901,6.0558,1.6512,-0.467351040777059,0.447988155678315
8.343,1.6507,6.057,2.901,6.057,1.6507,-0.475098594834666,0.453330477765706
8.344,1.6507,6.057,2.8937,6.057,1.6507,-0.475098594834666,0.453330477765706
8.34567,1.6502,6.059,2.901,6.059,1.6502,-0.482846148892277,0.46223434791136
8.346,1.6512,6.0558,2.901,6.0558,1.6512,-0.467351040777059,0.447988155678315
8.347,1.6497,6.0615,2.901,6.0615,1.6497,-0.490593702949885,0.473364185593427
8.348,1.6497,6.0615,2.908,6.0615,1.6497,-0.490593702949885,0.473364185593427
8.349,1.64924,6.063,2.901,6.063,1.64924,-0.497721452682883,0.480042088202662
8.35,1.6487,6.065,2.8937,6.065,1.6487,-0.506088811065103,0.488945958348312
8.351,1.6487,6.065,2.901,6.065,1.6487,-0.506088811065103,0.488945958348312
8.352,1.64771,6.069,2.901,6.069,1.64771,-0.521428968099168,0.506753698639617
8.353,1.6472,6.07,2.901,6.07,1.6472,-0.529331473237929,0.511205633712445
